review_id	review_text	aspect_terms
3121	but the staff was so horrible to us .	staff
2777	to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .	food
1634	the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .	food	kitchen	menu
2534	where gabriela personaly greets you and recommends you what to eat .	
583	for those that go once and do n't enjoy it , all i can say is that they just do n't get it .	
2846	not only was the food outstanding , but the little 'perks' were great .	food	perks
1571	it is very overpriced and not very tasty .	
1458	our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .	orrechiete with sausage and chicken	waiters	meats	dish
3161	the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .	bagels
2391	nevertheless the food itself is pretty good .	food
986	i 've noticed megadeth , mr . scruff , st . germain , traditional vietnamese songs , black sabbath , jay - z , and daft punk all being played .	songs
296	they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .	toast	mayonnaise	bacon	cheese	ingredients	plate	omelet
1793	it took half an hour to get our check , which was perfect since we could sit , have drinks and talk !	drinks	check
2200	the design and atmosphere is just as good .	design	atmosphere
3195	he has visited thailand and is quite expert on the cuisine .	cuisine
3119	i would definitely recommend mary 's and am making it one of my regular neighborhood haunts .	
3359	the pizza is the best if you like thin crusted pizza .	pizza	thin crusted pizza
70	my girlfriend and i stumbled onto this hopping place the other night and had a great time !	
1829	he ca n't help , they 're bought up so fast .	
2935	secondly , on this night the place was overwhelmed by upper east side ladies perfume .	
1805	i have eaten here a handful of times , for no reason besides sheer convenience .	
2559	obviously run by folks who know a pie .	
716	we were very disappointed .	
2464	it is definitely special and affordable .	
385	i really liked this place .	
1350	i will be going back very soon .	
3534	all the money went into the interior decoration , none of it went to the chefs .	interior decoration	chefs
1407	the seats are uncomfortable if you are sitting against the wall on wooden benches .	seats
565	i asked for seltzer with lime , no ice .	seltzer with lime
387	it was pretty inexpensive too .	
1314	will not be back .	
675	do n't go alone - - - even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .	pickles	selection of meats and seafoods
2227	my suggestion is to eat family style because you 'll want to try the other dishes .	dishes	eat family style
3367	best of all is the warm vibe , the owner is super friendly and service is fast .	vibe	owner	service
1210	this is n't a value joint .	
2191	faan 's got a great concept but a little rough on the delivery .	delivery
270	from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .	food	atmosphere	service
638	great food at reasonable prices , makes for an evening that ca n't be beat !	food	prices
500	look foward to trying the ruben upon returning .	
1108	the only other steakhouse that seems to hold a candle to roth 's is the strip house .	
3294	we usually go to the chart house to celebrate a birthday or anniversary .	
388	this little place has a cute interior decor and affordable city prices .	interior decor	prices
3070	you 'll adore it .	
3373	two words : free wine .	wine
425	the price is reasonable although the service is poor .	price	service
3192	the quantity is also very good , you will come out satisfied .	quantity
1098	i have been to roth 's twice and both times were very disappointing .	
2173	worth visiting the 1st ave spot because it is the original store .	
391	i stumbled upon this second floor walk - up two fridays ago when i was with two friends in town from l . a . being serious sushi lovers , we sat at the sushi bar to be closer to the action .	sushi	sushi bar
263	raga 's is a romantic , cozy restaurant .	
2384	the fried rice is amazing here .	fried rice
2962	three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .	mussels	puff pastry goat cheese	salad with a delicious dressing	hanger steak au poivre	courses
3404	it 's a perfect place to have a amanzing indian food .	indian food
2599	the place is so cool and the service is prompt and curtious .	service	place
673	at the end you 're left with a mild broth with noodles that you can slurp out of a cup .	broth with noodles
648	i just wonder how you can have such a delicious meal for such little money .	meal	money
863	the food was delicious but do not come here on a empty stomach .	food
1623	the wine list is excellent .	wine list
2177	so garantuan that you ca n't fit them in a toaster .	
430	ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) .	thai food
1101	they wouldnt even let me finish my glass of wine before offering another .	glass of wine
1823	i highly recommend the sophia pizza .	
324	whem asked , we had to ask more detailed questions so that we knew what the specials were .	specials
2783	this is a consistently great place to dine for lunch or dinner .	lunch	dinner	dine
2983	nice atmosphere , the service was very pleasant and the desert was good .	atmosphere	service	desert
66	all the people that i bring there go back on their own and bring their friends !	
627	after really enjoying ourselves at the bar we sat down at a table and had dinner .	bar	table	dinner
3219	fabulous service , fantastic food , and a chilled out atmosphere and environment .	service	food	atmosphere	environment
2934	not what i wanted to hear .	
2787	try the lasagnette appetizer .	lasagnette appetizer
825	pricey , but worth a try , at least once .	
197	i 've been there a few times , and i usually end up sitting next to some pretty odd people .	
604	i liked the beer selection !	beer selection
2911	great food , good size menu , great service and an unpretensious setting .	food	menu	service	setting
3074	go here for a romantic dinner but not for an all out wow dining experience .	dinner	dining
1479	ca n't wait to go back .	
